lemma;raw_count;freq_per_100_lemmas
pinge;20;0.102
nädalavahetus;20;0.102
tõepoolest;20;0.102
10.;20;0.102
tiitel;20;0.102
hammas;20;0.102
argument;20;0.102
vastane;20;0.102
tapma;20;0.102
statistika;20;0.102
vara;20;0.102
kott;20;0.102
meeletult;20;0.102
valus;20;0.102
kontakt;20;0.102
kosmos;20;0.102
suvaline;20;0.102
kehv;20;0.102
the;20;0.102
elus;20;0.102
kutt;20;0.102
pime;20;0.102
st;20;0.102
lame;20;0.102
siim;20;0.102
seoses;20;0.102
teadus;20;0.102
viies;20;0.102
in;20;0.102
lasnamäe;20;0.102
sügav;20;0.102
doktor;20;0.102
üüriturg;20;0.102
külaline;19;0.097
valga;19;0.097
kolima;19;0.097
selguma;19;0.097
täpsemalt;19;0.097
tuju;19;0.097
naaber;19;0.097
lemmik;19;0.097
tabel;19;0.097
95;19;0.097
ülejäänud;19;0.097
mismoodi;19;0.097
teistpidi;19;0.097
majandus;19;0.097
mk;19;0.097
kiirelt;19;0.097
kava;19;0.097
homme;19;0.097
saar;19;0.097
jätkuvalt;19;0.097
sats;19;0.097
em;19;0.097
rekord;19;0.097
kindlalt;19;0.097
20.;19;0.097
trumm;19;0.097
tehniline;19;0.097
nimel;19;0.097
veri;19;0.097
komme;19;0.097
na;19;0.097
19;19;0.097
protsessor;19;0.097
meri;19;0.097
tõsiselt;19;0.097
kuidagimoodi;19;0.097
jätkuma;19;0.097
lõbus;19;0.097
eurovisioon;19;0.097
võimalikult;19;0.097
jõulud;19;0.097
kergem;18;0.092
populaarne;18;0.092
kiitma;18;0.092
juhtima;18;0.092
aken;18;0.092
töökoht;18;0.092
kohus;18;0.092
õu;18;0.092
piirang;18;0.092
kõndima;18;0.092
vähegi;18;0.092
näpp;18;0.092
noorem;18;0.092
spetsialist;18;0.092
panustama;18;0.092
detail;18;0.092
paha;18;0.092
võrkpall;18;0.092
läti;18;0.092
kohtuma;18;0.092
ajakirjanik;18;0.092
fänn;18;0.092
vaidlus;18;0.092
käik;18;0.092
lääs;18;0.092
mart;18;0.092
süüdi;18;0.092
rada;18;0.092
võitja;18;0.092
esindaja;18;0.092
kevin;18;0.092
meistrivõistlus;18;0.092
üldine;18;0.092
tehing;18;0.092
tähtsam;18;0.092
öösel;18;0.092
löök;18;0.092
korjama;18;0.092
ki;18;0.092
vaene;18;0.092
efekt;18;0.092
nõu;18;0.092
guugeldama;18;0.092
