ngram;count;freq_per_60_min
aga vaatama;17;0.3937
ka eesti;17;0.3937
võima rääkima;17;0.3937
ka natuke;17;0.3937
mitu aasta;17;0.3937
siin eesti;17;0.3937
olema lihtne;17;0.3937
jah ütlema;17;0.3937
ja kuulama;17;0.3937
sina kirjutama;17;0.3937
niisugune lugu;17;0.3937
nagu natuke;17;0.3937
see tunne;17;0.3937
järgmine lugu;17;0.3937
sina jääma;17;0.3937
olema suhteliselt;17;0.3937
sina oskama;17;0.3937
sina tundma;17;0.3937
see viimane;17;0.3937
väga oluline;17;0.3937
nagu täis;17;0.3937
tahtma küsima;17;0.3937
nagu okei;17;0.3937
ka vaatama;17;0.3937
ära panema;17;0.3937
see bakter;17;0.3937
et näide;16;0.3706
nagu päriselt;16;0.3706
olema ammu;16;0.3706
olema siiamaani;16;0.3706
siis rääkima;16;0.3706
tahtma teadma;16;0.3706
veel kord;16;0.3706
üks külg;16;0.3706
sina hea;16;0.3706
ei pääsema;16;0.3706
siis eesti;16;0.3706
tema nägema;16;0.3706
oma olemus;16;0.3706
olema eriti;16;0.3706
üks kaks;16;0.3706
nagu võtma;16;0.3706
et kuulama;16;0.3706
ka ütlema;16;0.3706
tahtma nägema;16;0.3706
ja loomulikult;16;0.3706
ei leidma;16;0.3706
aga rääkima;16;0.3706
edasi andma;16;0.3706
noh vaatama;16;0.3706
sina kuulma;16;0.3706
kokku panema;16;0.3706
mitu kord;16;0.3706
kaks nädal;16;0.3706
ei eksima;16;0.3706
tema üritama;16;0.3706
kokku puutuma;16;0.3706
see puhastus;16;0.3706
tund aeg;15;0.3474
olema puhas;15;0.3474
see elu;15;0.3474
et kaks;15;0.3474
mina nii-öelda;15;0.3474
mina kaks;15;0.3474
kui suur;15;0.3474
olema vähe;15;0.3474
tallinn tehnikaülikool;15;0.3474
hea näide;15;0.3474
kaks päev;15;0.3474
olema väga-väga;15;0.3474
nagu üldse;15;0.3474
üks koht;15;0.3474
see juhtuma;15;0.3474
okei no;15;0.3474
olema teadma;15;0.3474
viimane aasta;15;0.3474
see põhjus;15;0.3474
ja kuulma;15;0.3474
tegema no;15;0.3474
olema vana;15;0.3474
sina meeldima;15;0.3474
mina kirjutama;15;0.3474
uus lugu;15;0.3474
see kuulama;15;0.3474
issand jumal;15;0.3474
olema kuulama;15;0.3474
see no;15;0.3474
ei töötama;15;0.3474
nagu rääkima;15;0.3474
mina ootama;15;0.3474
ja laskma;15;0.3474
välja mõtlema;15;0.3474
mina sööma;15;0.3474
olema armastus;15;0.3474
olema käsi;14;0.3242
ei muutuma;14;0.3242
hea sõber;14;0.3242
tema nimi;14;0.3242
see tee;14;0.3242
selline teema;14;0.3242
praegune hetk;14;0.3242
tänane päev;14;0.3242
üks suur;14;0.3242
väga tähtis;14;0.3242
nagu uus;14;0.3242
saama vaatama;14;0.3242
olema täielik;14;0.3242
olema normaalne;14;0.3242
seal käima;14;0.3242
kaks null;14;0.3242
teine külg;14;0.3242
see näide;14;0.3242
mina üldse;14;0.3242
ja nägema;14;0.3242
olema panema;14;0.3242
nii hea;14;0.3242
olema maailm;14;0.3242
see muutma;14;0.3242
ei laskma;14;0.3242
müts maha;14;0.3242
tegema töö;14;0.3242
nagu andma;14;0.3242
lihtsalt ütlema;14;0.3242
ka hästi;14;0.3242
see tüüp;14;0.3242
kui näide;14;0.3242
hästi suur;14;0.3242
see lood;14;0.3242
ja proovima;14;0.3242
20 aasta;14;0.3242
asi käima;14;0.3242
palju erinev;14;0.3242
mis eesti;14;0.3242
see info;14;0.3242
mõni aeg;14;0.3242
mina keha;14;0.3242
enamus inimene;14;0.3242
olema selge;14;0.3242
see üritus;14;0.3242
mina inimene;14;0.3242
olema kurat;14;0.3242
teine kord;14;0.3242
asi vaatama;14;0.3242
minema vaatama;14;0.3242
kõik teadma;14;0.3242
olema naljakas;14;0.3242
mis lugu;14;0.3242
ja uus;14;0.3242
elu jääma;14;0.3242
tänane saade;14;0.3242
halb tunne;14;0.3242
tema elu;13;0.3011
mis rääkima;13;0.3011
siis kaks;13;0.3011
mina meel;13;0.3011
mina sõber;13;0.3011
see noor;13;0.3011
oma töö;13;0.3011
mingi põhjus;13;0.3011
nii väike;13;0.3011
ise mõtlema;13;0.3011
siis no;13;0.3011
olema varem;13;0.3011
olema vahe;13;0.3011
nüüd ütlema;13;0.3011
hea mõte;13;0.3011
ära võtma;13;0.3011
inimene ütlema;13;0.3011
see täpselt;13;0.3011
mingi inimene;13;0.3011
mina oskama;13;0.3011
mina hea;13;0.3011
just täpselt;13;0.3011
mk etapp;13;0.3011
siis lõpuks;13;0.3011
see kogemus;13;0.3011
võima juhtuma;13;0.3011
see võimalik;13;0.3011
vastu võtma;13;0.3011
tiim estonia;13;0.3011
antud juht;13;0.3011
olema algus;13;0.3011
aasta algus;13;0.3011
kui kaua;13;0.3011
mina isiklikult;13;0.3011
küsimus number;13;0.3011
olema andma;13;0.3011
lihtsalt tahtma;13;0.3011
olema piisavalt;13;0.3011
keegi ütlema;13;0.3011
välja ütlema;13;0.3011
sina lugu;13;0.3011
kes kuulama;13;0.3011
päris huvitav;13;0.3011
see protsess;13;0.3011
enne rääkima;13;0.3011
nagu aru;13;0.3011
kes teadma;13;0.3011
tema mängima;13;0.3011
olema harjuma;13;0.3011
järgmine samm;13;0.3011
olema positiivne;13;0.3011
kus inimene;13;0.3011
et elu;13;0.3011
tema arvama;13;0.3011
mingi probleem;13;0.3011
praegu vaatama;13;0.3011
tema andma;13;0.3011
see formaat;13;0.3011
eelmine kord;13;0.3011
see päev;13;0.3011
kui vaatama;13;0.3011
ei tekkima;13;0.3011
100 protsent;13;0.3011
see laul;13;0.3011
niisugune tunne;13;0.3011
lihtsalt vaatama;13;0.3011
