ngram;count;freq_per_100_n-gramms
päris hea;8;0.0071
tulite stuudiosse;8;0.0071
väga häid;8;0.0071
et üldse;8;0.0071
nädal aega;8;0.0071
100 protsenti;8;0.0071
seda vaja;8;0.0071
on nõus;8;0.0071
iga aasta;8;0.0071
mina isiklikult;8;0.0071
ja hea;8;0.0071
oli tegelikult;8;0.0071
eesti keeles;8;0.0071
sellega tegeleda;8;0.0071
te ütlete;8;0.0071
on ilus;8;0.0071
hea näide;8;0.0071
siin täna;8;0.0071
on keeruline;8;0.0071
me lihtsalt;8;0.0071
ette võtta;8;0.0071
mis viib;8;0.0071
no tegelikult;8;0.0071
mingis mõttes;8;0.0071
see tunne;8;0.0071
ühel päeval;8;0.0071
oma nii-öelda;8;0.0071
tartu noorsootöökeskuse;8;0.0071
et anna;8;0.0071
see mees;8;0.0071
20 aasta;8;0.0071
on vähem;8;0.0071
ju nii-öelda;8;0.0071
see küsimus;8;0.0071
ja eriti;8;0.0071
tähele pannud;8;0.0071
nende inimeste;8;0.0071
need kaks;8;0.0071
väga väike;8;0.0071
küsimus ongi;8;0.0071
selline suur;8;0.0071
ei vaata;8;0.0071
selle inimese;8;0.0071
tollel ajal;8;0.0071
läbi käinud;8;0.0071
see aitab;8;0.0071
kuidagi teistmoodi;8;0.0071
issand jumal;8;0.0071
ja enamasti;8;0.0071
kuu aja;8;0.0071
ongi hästi;8;0.0071
see objekt;8;0.0071
ei toimi;8;0.0071
on tekkinud;8;0.0071
ma küsiks;8;0.0071
oma kodu;8;0.0071
olen tegelikult;8;0.0071
nii ongi;8;0.0071
edukat päeva;8;0.0071
see päev;8;0.0071
kokku võtta;8;0.0071
seda energiat;8;0.0071
sinu arvates;8;0.0071
ma teadsin;8;0.0071
mulle hästi;8;0.0071
oluline osa;8;0.0071
poole pöörduda;8;0.0071
et viljandi;8;0.0071
aasta lõpus;8;0.0071
see hea;8;0.0071
oma keha;8;0.0071
vastu võtma;8;0.0071
me sööme;8;0.0071
sa räägid;8;0.0071
miks inimesed;8;0.0071
veel võimalik;8;0.0071
väga sagedasti;8;0.0071
tänases saates;7;0.0062
eesti noorte;7;0.0062
vaimsest tervisest;7;0.0062
mis annab;7;0.0062
ka erinevad;7;0.0062
ka tartu;7;0.0062
siis ilmselt;7;0.0062
kõik tahavad;7;0.0062
ei tööta;7;0.0062
et vaata;7;0.0062
selle teema;7;0.0062
seda üldse;7;0.0062
on paha;7;0.0062
me olemegi;7;0.0062
ta teab;7;0.0062
üle maailma;7;0.0062
on loomulikult;7;0.0062
on suurem;7;0.0062
aga vaatame;7;0.0062
no näiteks;7;0.0062
poole aasta;7;0.0062
ei huvita;7;0.0062
mina soovitan;7;0.0062
ta näeb;7;0.0062
ma alguses;7;0.0062
seda raha;7;0.0062
mida inimene;7;0.0062
mina tänan;7;0.0062
ja vaatame;7;0.0062
ära müüa;7;0.0062
siis inimesed;7;0.0062
ja viljandi;7;0.0062
neid nii-öelda;7;0.0062
kogu eesti;7;0.0062
ja üleüldse;7;0.0062
omal ajal;7;0.0062
kes kuulavad;7;0.0062
ei soovita;7;0.0062
on jätkuvalt;7;0.0062
et suur;7;0.0062
siis kaks;7;0.0062
ja natukene;7;0.0062
siis tekkis;7;0.0062
kaks kuud;7;0.0062
oluline asi;7;0.0062
ette nähtud;7;0.0062
on eestis;7;0.0062
mõnda aega;7;0.0062
see nõuab;7;0.0062
see natukene;7;0.0062
sellises olukorras;7;0.0062
ei jaksa;7;0.0062
paljud noored;7;0.0062
siis täpsemalt;7;0.0062
ja mõtlevad;7;0.0062
midagi aru;7;0.0062
kuidas inimesed;7;0.0062
kes oskab;7;0.0062
noh ongi;7;0.0062
sel ajal;7;0.0062
on mõistlik;7;0.0062
tanel kiik;7;0.0062
see sõna;7;0.0062
kui rääkida;7;0.0062
no kindlasti;7;0.0062
ja aidata;7;0.0062
on tänaseks;7;0.0062
te vaatasite;7;0.0062
tere päevast;7;0.0062
tervislik toitumine;7;0.0062
ka ütleme;7;0.0062
kes tahavad;7;0.0062
see muutus;7;0.0062
ellu viia;7;0.0062
selline ütleme;7;0.0062
korda päevas;7;0.0062
et võtta;7;0.0062
ei luba;7;0.0062
õigesti aru;7;0.0062
välja arvatud;7;0.0062
see jääb;7;0.0062
sellega seoses;7;0.0062
jüri ratasega;7;0.0062
seda öelda;7;0.0062
need otsused;7;0.0062
selle küsimuse;7;0.0062
ka täna;7;0.0062
täiesti arusaadav;7;0.0062
mõned aastad;7;0.0062
sa õpid;7;0.0062
pole üldse;7;0.0062
kõige esimene;7;0.0062
keegi ütleb;7;0.0062
ütlen ausalt;7;0.0062
nagu okei;7;0.0062
oleks võimalikult;7;0.0062
aga hästi;7;0.0062
olla lihtsalt;7;0.0062
me liigume;7;0.0062
mingi aja;7;0.0062
on tohutult;7;0.0062
sinu elu;7;0.0062
kuu aega;7;0.0062
ja naise;7;0.0062
nagu aru;7;0.0062
erinevaid inimesi;7;0.0062
nii kaugele;7;0.0062
ta tahaks;7;0.0062
meie kohtume;7;0.0062
võin öelda;7;0.0062
on tõsi;7;0.0062
see probleem;7;0.0062
üks suur;7;0.0062
sama asja;7;0.0062
on sündinud;7;0.0062
on käinud;7;0.0062
saab tegelikult;7;0.0062
paika pandud;7;0.0062
mitte ühtegi;7;0.0062
selle õige;7;0.0062
käest küsida;7;0.0062
on inimestel;7;0.0062
midagi valesti;7;0.0062
ja isa;7;0.0062
siin aasta;7;0.0062
see elu;7;0.0062
peamine põhjus;7;0.0062
esimene samm;7;0.0062
on teada;7;0.0062
selle maakleri;7;0.0062
et jaa;7;0.0062
siis võtke;7;0.0062
selline mõnus;7;0.0062
ma kardan;7;0.0062
kui tahad;7;0.0062
noh lihtsalt;7;0.0062
me saadame;7;0.0062
selle esimese;7;0.0062
oma äri;7;0.0062
peab õppima;7;0.0062
me koolitame;7;0.0062
et tänapäeval;7;0.0062
et küsimus;7;0.0062
pool tundi;7;0.0062
midagi rohkemat;7;0.0062
täna hommikul;7;0.0062
on päike;7;0.0062
midagi öelda;7;0.0062
head uut;7;0.0062
uut aastat;7;0.0062
muid asju;7;0.0062
teine inimene;7;0.0062
see tegevus;7;0.0062
tähelepanu pöörata;7;0.0062
selline tore;7;0.0062
ja natuke;7;0.0062
ole hea;7;0.0062
martin helme;7;0.0062
vene keelt;7;0.0062
oma aja;7;0.0062
andke andeks;7;0.0062
selline olukord;7;0.0062
ma oskan;7;0.0062
on tegemist;7;0.0062
